HHS_region,pathogen2,psi,loglik
1,fluA,0.01,-3466.847771
1,fluA,0.04,-3470.881113
1,fluA,0.07,-3468.629202
1,fluA,0.1,-3474.495274
1,fluA,0.13,-3490.204245
1,fluA,0.16,-3493.985621
1,fluA,0.19,-3499.870065
1,fluA,0.22,-3505.796822
1,fluA,0.25,-3511.765298
1,fluA,0.28,-3517.774973
1,fluA,0.3,-3521.804051
1,fluA,0.4,-3542.215186
1,fluA,0.5,-3563.055655
1,fluA,0.6,-3584.307672
3,fluA,0.01,-6930.787739
3,fluA,0.04,-6934.669954
3,fluA,0.07,-6938.632811
3,fluA,0.1,-6942.67679
3,fluA,0.13,-6946.802871
3,fluA,0.16,-6951.011746
3,fluA,0.19,-6955.30436
3,fluA,0.22,-6959.681725
3,fluA,0.25,-6964.144676
3,fluA,0.28,-6968.693964
3,fluA,0.3,-6971.775139
3,fluA,0.4,-6987.772482
3,fluA,0.5,-7004.779533
3,fluA,0.6,-7022.830723
3,fluA,0.7,-7041.96131
4,fluA,0.01,-12691.56046
4,fluA,0.04,-12691.96426
4,fluA,0.07,-12692.36446
4,fluA,0.1,-12692.76121
4,fluA,0.13,-12693.15449
4,fluA,0.16,-12693.54438
4,fluA,0.19,-12693.931
4,fluA,0.22,-12694.31427
4,fluA,0.25,-12694.69417
4,fluA,0.28,-12695.07067
4,fluA,0.3,-12695.31987
4,fluA,0.4,-12696.5431
4,fluA,0.5,-12697.7281
4,fluA,0.6,-12698.87388
4,fluA,0.7,-12699.9798
5,fluA,0.01,-17434.61251
5,fluA,0.04,-17437.36321
5,fluA,0.07,-17440.10546
5,fluA,0.1,-17442.83957
5,fluA,0.13,-17445.56521
5,fluA,0.16,-17448.28284
5,fluA,0.19,-17450.99183
5,fluA,0.22,-17453.69385
5,fluA,0.25,-17456.38726
5,fluA,0.28,-17461.88787
5,fluA,0.3,-17460.8565
5,fluA,0.4,-17469.7259
5,fluA,0.5,-17478.49613
5,fluA,0.6,-17487.15986
5,fluA,0.7,-17495.70142
6,fluA,0.01,-14035.51764
6,fluA,0.04,-14037.3248
6,fluA,0.07,-14039.12652
6,fluA,0.1,-14040.9225
6,fluA,0.13,-14042.71266
6,fluA,0.16,-14044.49691
6,fluA,0.19,-14046.27535
6,fluA,0.22,-14048.04781
6,fluA,0.25,-14049.81416
6,fluA,0.28,-14051.57432
6,fluA,0.3,-14052.74427
6,fluA,0.4,-14058.55138
6,fluA,0.5,-14064.2836
6,fluA,0.6,-14069.93091
6,fluA,0.7,-14075.40891
7,fluA,0.01,-4439.82371
7,fluA,0.04,-4440.073772
7,fluA,0.07,-4440.322436
7,fluA,0.1,-4440.569691
7,fluA,0.13,-4440.81549
7,fluA,0.16,-4441.059931
7,fluA,0.19,-4441.303
7,fluA,0.22,-4441.544676
7,fluA,0.25,-4441.784974
7,fluA,0.28,-4442.023906
7,fluA,0.3,-4442.182437
7,fluA,0.4,-4442.966084
7,fluA,0.5,-4443.734815
7,fluA,0.6,-4444.48879
7,fluA,0.7,-4445.228219
